campus_number,NES Status
102,NES Aligned
104,
105,
478,
273,NES Aligned
274,
106,NES
041,
001,
259,
107,
108,
467,
234,
151,
002,
360,
295,NES Aligned
268,
109,NES
042,
110,NES Aligned
111,NES Aligned
112,NES Aligned
114,
116,
344,
117,
119,NES Aligned
120,
121,NES
122,
043,
124,
125,NES Aligned
275,
287,NES Aligned
322,
292,
323,
027,
071,NES Aligned
048,
123,
013,
130,
358,NES
132,NES Aligned
133,
290,
135,
044,NES Aligned
136,
466,
396,
297,
137,
045,
383,
026,
138,NES Aligned
140,NES
115,
144,NES Aligned
345,
301,
046,NES Aligned
147,NES
475,NES
148,
149,
350,
364,
321,
390,
342,
468,
352,
152,
078,NES
271,
153,
072,NES Aligned
047,
470,
476,NES
154,
155,NES Aligned
156,
004,NES Aligned
291,NES Aligned
283,
157,
158,
159,
162,NES Aligned
058,
262,
369,
348,
131,
049,
351,
166,NES Aligned
167,NES Aligned
051,NES Aligned
168,NES Aligned
169,
097,
012,
170,
171,
172,NES
052,NES
173,
286,
456,
174,NES
473,NES
395,
175,NES Aligned
053,
050,NES Aligned
178,
310,NES Aligned
034,
180,NES
181,
182,
320,
006,
185,NES
007,NES
187,
188,NES Aligned
389,
079,NES
025,
189,
008,
057,
192,
340,NES Aligned
357,
263,
075,NES Aligned
458,
194,NES Aligned
324,
195,NES Aligned
059,NES Aligned
196,
197,NES Aligned
198,
199,
128,
201,
203,
010,NES Aligned
460,
480,NES
061,
289,
298,NES
179,NES
227,
062,NES
204,
055,
485,
484,
011,
299,
354,
264,
355,
207,
359,
311,
054,
209,
394,
477,NES
308,
210,NES Aligned
003,
211,
212,NES Aligned
338,
213,NES Aligned
113,NES
214,
215,
216,
217,
064,
265,
218,
337,
219,
220,
221,
222,NES Aligned
223,NES
380,
382,NES Aligned
224,
060,NES Aligned
225,
080,
228,
229,
186,NES Aligned
372,
039,
231,
232,
233,NES Aligned
281,
237,
024,NES Aligned
353,
269,NES
402,
373,NES Aligned
276,
479,NES
023,
081,
239,
240,
241,
242,NES Aligned
069,
486,
244,
014,NES Aligned
245,
098,
163,NES
248,
068,
100,
077,
243,NES Aligned
279,
374,
249,
251,
285,
252,NES Aligned
253,
015,
016,NES Aligned
056,
254,
099,
255,
017,
036,
256,
018,NES
257,NES Aligned
267,
483,
258,NES Aligned
082,NES Aligned
260,
009,NES Aligned
127,
019,NES Aligned
020,NES Aligned
247,NES Aligned
463,
